,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State
73,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2514,2373,2315,2185,1886,2011,Odisha
74,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5774,5608,5667,5010,4916,4866,Odisha
75,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9160,9228,7176,7466,8967,7617,Odisha
76,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3054,2774,3045,2429,2560,2669,Odisha
77,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3877,4396,3949,3643,,2635,Odisha
80,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2361,2394,2694,2119,2118,2070,Maharashtra
81,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5994,6360,4647,4081,4419,5240,Maharashtra
82,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,489,618,642,496,476,595,Maharashtra
83,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1160,1409,1241,1325,1501,1594,Maharashtra
84,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,41,,,,,,Maharashtra
85,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1295,1577,1588,1211,1149,1375,Maharashtra
86,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3571,3516,3689,3680,2505,2911,Maharashtra
88,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,703,678,952,726,589,591,Maharashtra
89,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1252,1493,1926,1141,395,1141,Maharashtra
90,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,474,501,475,396,504,528,Maharashtra
91,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),684,424,365,231,887,617,Maharashtra
92,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,8343,,,,,,Maharashtra
93,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),13761,,,,,,Maharashtra
94,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1311,,,,,,Maharashtra
95,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2839,,,,,,Maharashtra
96,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,4014,,,,,,Maharashtra
97,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),5934,,,,,,Maharashtra
98,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2370,,,,,,Maharashtra
99,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2950,,,,,,Maharashtra
100,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1070,,,,,,Maharashtra
101,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1581,,,,,,Maharashtra
102,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1067,1191,1704,2158,1944,1567,Maharashtra
103,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3432,4101,3173,3895,6027,1847,Maharashtra
104,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,397,360,876,564,451,198,Maharashtra
105,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1085,1490,,,,,Maharashtra
106,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,1018,1291,1779,2029,1610,1390,Maharashtra
107,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),4453,3479,2823,1924,3699,2898,Maharashtra
109,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1147,545,570,742,702,1233,Maharashtra
110,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1771,1438,2249,2391,2056,,Maharashtra
111,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,557,247,579,427,85,602,Maharashtra
112,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2464,2545,2824,2081,2213,2000,Maharashtra
113,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5969,6650,5426,4591,4709,5882,Maharashtra
114,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,176,153,179,137,164,148,Maharashtra
116,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,500,485,549,461,413,523,Maharashtra
117,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1152,1438,1647,1145,1321,1536,Maharashtra
119,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1255,1338,1449,1173,1318,1238,Maharashtra
120,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3552,3197,3421,3576,3546,3305,Maharashtra
122,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,735,783,936,698,831,867,Maharashtra
123,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1242,1498,1655,1343,1310,1324,Maharashtra
124,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,9,,,,,,Maharashtra
125,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,469,413,487,404,431,466,Maharashtra
126,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),649,742,502,695,522,506,Maharashtra
127,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,7228,7430,9064,5500,5788,5976,Maharashtra
128,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),10435,11262,14929,11453,12842,10859,Maharashtra
129,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1353,1338,1685,1269,1147,1204,Maharashtra
130,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2621,2637,2924,1968,2638,1605,Maharashtra
131,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,3637,3506,4004,3138,3475,3728,Maharashtra
132,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6573,7754,6843,6728,5966,6258,Maharashtra
