,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
72,72,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7914,7643.0,,,,,Rajasthan,7778.5,7778.5,191.6259377015544,7643.0,7914.0,7586.874062298446,7970.125937701554
73,73,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),9178,10142.0,,,,,Rajasthan,9660.0,9660.0,681.6509370638319,9178.0,10142.0,8978.349062936168,10341.650937063832
74,74,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3744,3559.0,,,,,Rajasthan,3651.5,3651.5,130.8147545195113,3559.0,3744.0,3520.685245480489,3782.314754519511
75,75,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),4149,4802.0,,,,,Rajasthan,4475.5,4475.5,461.7407281148155,4149.0,4802.0,4013.7592718851847,4937.240728114815
76,76,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,27400,24416.0,22296.0,20518.0,22460.0,22320.0,Rajasthan,23235.0,22390.0,2385.1056999638404,20518.0,27400.0,20004.89430003616,24775.10569996384
77,77,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),35627,34423.0,29830.0,,,,Rajasthan,33293.333333333336,34423.0,3059.1522246095133,29830.0,35627.0,31363.847775390488,37482.15222460951
78,78,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1470,1619.0,1289.0,926.0,1028.0,1528.0,Rajasthan,1310.0,1379.5,281.4341841354742,926.0,1619.0,1098.0658158645258,1660.9341841354742
79,79,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),1997,2035.0,1650.0,,,,Rajasthan,1894.0,1997.0,212.16267343715293,1650.0,2035.0,1784.837326562847,2209.162673437153
80,80,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,4471,4630.0,4201.0,3299.0,3581.0,4233.0,Rajasthan,4069.1666666666665,4217.0,519.940156812942,3299.0,4630.0,3697.059843187058,4736.9401568129415
81,81,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),6025,6604.0,5281.0,,,,Rajasthan,5970.0,6025.0,663.2126355853001,5281.0,6604.0,5361.7873644147,6688.2126355853
